Dit	Pron
in	Prep
verband	N
met	Prep
de	Art
gemiddeld	Adj
langere	Adj
levensduur	N
van	Prep
de	Art
vrouw	N
.	Punc
<utt>
De	Art
verzekeringsmaatschappijen	N
verhelen	V
niet	Adv
dat	Conj
ook	Adv
de	Art
rentegrondslag	N
van	Prep
vier	Num
procent	N
nog	Adv
een	Art
ruime	Adj
marge	N
laat	V
ten	Prep
opzichte	N
van	Prep
de	Art
thans	Adv
geldende	V
rentestand	N
.	Punc
<utt>
Gezien	Prep
de	Art
lange	Adj
duur	N
van	Prep
vele	Num
verzekeringscontracten	N
is	V
dit	Pron
onvermijdelijk	Adj
,	Punc
vooral	Adv
omdat	Conj
de	Art
aard	N
van	Prep
deze	Pron
contracten	N
een	Art
tussentijdse	Adj
premieverhoging	N
niet	Adv
toelaat	V
.	Punc
<utt>
De	Art
premieverlaging	N
geldt	V
,	Punc
zoals	Conj
onlangs	Adv
reeds	Adv
werd	V
aangekondigd	V
,	Punc
voor	Prep
nieuwe	Adj
verzekeringen	N
,	Punc
gesloten	V
vanaf	Prep
15	Num
september	N
jl.	Adj
<virt_punt 	Punc
Het	Art
loslaten	V
van	Prep
de	Art
vaste	Adj
wisselkoers	N
van	Prep
de	Art
Duitse	Adj
mark	N
heeft	V
geleid	V
tot	Prep
een	Art
ernstige	Adj
botsing	N
tussen	Prep
de	Art
Europese	N
Commissie	N
en	Conj
de	Art
regering	N
van	Prep
de	Art
Bondsrepubliek	N
.	Punc
<utt>
Het	Art
EEGtoporgaan	N
heeft	V
gisteravond	Adv
in	Prep
Brussel	N
besloten	V
WestDuitsland	N
zijn	Pron
beperkende	V
maatregelen	N
tegen	Prep
de	Art
import	N
van	Prep
landbouwprodukten	N
moet	V
opheffen	V
.	Punc
<utt>
In	Prep
plaats	N
van	Prep
het	Art
stelsel	N
van	Prep
importheffingen	N
en	Conj
exportsubsidies	N
mag	V
de	Art
Bondsrepubliek	N
wel	Adv
de	Art
grenzen	N
sluiten	V
voor	Prep
granen	N
en	Conj
zuivelprodukten	N
.	Punc
<utt>
Eigenlijk	Adj
zou	V
ik	Pron
niks	Pron
anders	Pron
moeten	V
doen	V
dan	Conj
de	Art
hele	Adj
dag	N
vastleggen	V
,	Punc
vastleggen	V
,	Punc
vastleggen	V
.	Punc
<utt>
Niks	Pron
anders	Pron
doen	V
dan	Conj
almaar	Adv
ruw	Adj
materiaal	N
verzamelen	V
.	Punc
<utt>
Dat	Pron
zou	V
je	Pron
dan	Adv
in	Prep
een	Art
fabriek	N
moeten	V
kunnen	V
schuiven	V
die	Pron
dat	Pron
allemaal	Pron
afwerkt	V
.	Punc
<utt>
Ik	Pron
zou	V
alsmaar	Adv
informatie	N
moeten	V
geven	V
waarin	Adv
besloten	Adj
ligt	V
wat	Pron
ik	Pron
voel	V
,	Punc
hoe	Adv
ik	Pron
het	Pron
zie	V
,	Punc
wat	Pron
er	Adv
gebeurt	V
.	Punc
<utt>
Ik	Pron
ben	V
altijd	Adv
op	Prep
zoek	Adv
naar	Prep
de	Art
tweede	Num
Van	N
Gasteren	N
.	Punc
<utt>
Een	Art
man	N
die	Pron
ik	Pron
hier	Adv
een	Art
jaar	N
kan	V
zetten	V
met	Prep
salaris	N
en	Conj
die	Pron
dan	Adv
alles	Pron
wat	Pron
ik	Pron
maak	V
,	Punc
uitwerkt	V
.	Punc
<utt>
De	Art
enige	Adj
maatregel	N
die	Pron
de	Art
Duitsers	N
mogen	V
nemen	V
om	Conj
hun	Pron
boeren	N
te	Prep
beschermen	V
tegen	Prep
de	Art
gevolgen	N
van	Prep
de	Art
koersstijging	N
van	Prep
de	Art
mark	N
is	V
een	Art
concrete	Adj
sluiting	N
van	Prep
de	Art
grenzen	N
voor	Prep
buitenlandse	Adj
granen	N
en	Conj
zuivelprodukten	N
.	Punc
<utt>
Dat	Pron
houdt	V
in	Adv
,	Punc
dat	Conj
,	Punc
als	Conj
tenminste	Adv
de	Art
Duitsers	N
de	Art
Europese	N
Commissie	N
gehoorzamen	V
,	Punc
waartoe	Adv
zij	Pron
juridisch	Adj
verplicht	V
zijn	V
,	Punc
voor	Prep
alle	Pron
andere	Pron
landbouwprodukten	N
de	Art
grenzen	N
volledig	Adj
open	Adj
moeten	V
.	Punc
<utt>
Granen	N
en	Conj
zuivelprodukten	N
zijn	V
nl.	Adv
de	Art
enige	Adj
produkten	N
waarvoor	Adv
in	Prep
de	Art
Bondsrepubliek	N
een	Art
vaste	Adj
interventieprijs	N
geldt	V
,	Punc
uitgedrukt	V
in	Prep
Europese	Adj
rekeneenheden	N
.	Punc
<utt>
Zo	Adv
ziet	V
u	Pron
!	Punc
De	Art
kleur	N
blijkt	V
toch	Adv
wel	Adv
een	Art
onmisbaar	Adj
bestanddeel	N
van	Prep
zo'n	Pron
uitzending	N
te	Prep
zijn	V
.	Punc
<utt>
Maar	Conj
waarom	Adv
kregen	V
we	Pron
nu	Adv
kwart	N
voor	Prep
tien	Num
niet	Adv
nog	Adv
een	Art
korte	Adj
film	N
na	Adv
?	Punc
Het	Art
forum	N
"	Punc
Persoonlijk	N
"	Punc
was	V
na	Prep
al	Pron
die	Pron
spanning	N
toch	Adv
wel	Adv
erg	Adj
saai	N
.	Punc
<utt>
Dan	Adv
was	V
Ncrv's	N
nieuwe	Adj
"	Punc
Popparlement	N
"	Punc
voor	Prep
achten	Num
heel	Adv
wat	Pron
fleuriger	Adj
,	Punc
een	Art
goede	Adj
synthese	N
tussen	Prep
een	Art
forum	N
en	Conj
een	Art
amusementsprogramma	N
met	Prep
de	Art
ingelaste	V
interviews	N
en	Conj
de	Art
optredende	V
artiesten	N
als	Conj
afwisseling	N
.	Punc
<utt>
Maar	Conj
er	Adv
zijn	V
,	Punc
volgens	Prep
de	Art
heer	N
Van	N
Muylwijk	N
,	Punc
ook	Adv
juristen	N
,	Punc
artsen	N
en	Conj
andere	Pron
academici	N
,	Punc
die	Pron
zich	Pron
geen	Pron
aflevering	N
van	Prep
"	Punc
Het	N
Weten	N
Waard	N
"	Punc
laten	V
ontgaan	V
.	Punc
<utt>
Om	Conj
hun	Pron
algemene	Adj
ontwikkeling	N
op	Adv
te	Prep
frissen	V
.	Punc
<utt>
"	Punc
Instant	Adj
"	Punc
en	Conj
"	Punc
compact	Adj
"	Punc
zijn	V
typische	Adj
slagwoorden	N
voor	Prep
deze	Pron
tijd	N
.	Punc
<utt>
Niet	Adv
alleen	Adv
op	Prep
het	Art
gebied	N
van	Prep
levensmiddelen	N
en	Conj
auto's	N
,	Punc
maar	Conj
ook	Adv
op	Prep
dat	Pron
van	Prep
kennis	N
en	Conj
informatie	N
.	Punc
<utt>
Wij	Pron
,	Punc
moderne	Adj
mensen	N
,	Punc
willen	V
geen	Pron
tijd	N
verspillen	V
;	Punc
we	Pron
houden	V
van	Prep
snel	Adj
,	Punc
kort	Adj
,	Punc
krachtig	Adj
en	Conj
gemakkelijk	Adj
.	Punc
<utt>
Aan	Prep
de	Art
andere	Pron
kant	N
is	V
er	Adv
in	Prep
de	Art
hele	Adj
wereld	N
een	Art
sterk	Adj
groeiende	V
lees-	N
en	Conj
weethonger	N
merkbaar	Adj
.	Punc
<utt>
Minister	N
mr.	N
H.	N
K.	N
J.	N
Beernink	N
(	Punc
Binnenlandse	N
Zaken	N
)	Punc
zal	V
tegen	Prep
het	Art
eind	N
van	Prep
dit	Pron
parlementaire	Adj
jaar	N
-	Punc
dat	Pron
16	Num
september	N
jl.	Adj
begon	V
-	Punc
met	Prep
een	Art
aantal	N
wetsontwerpen	N
komen	V
voor	Prep
een	Art
gedeeltelijke	Adj
herziening	N
van	Prep
de	Art
Grondwet	N
.	Punc
<utt>
Dit	Pron
maakte	V
hij	Pron
bekend	Adj
aan	Prep
de	Art
hand	N
van	Prep
het	Art
tweede	Num
rapport	N
dat	Pron
de	Art
staatscommissie	N
Cals	N
Donner	N
,	Punc
die	Pron
zich	Pron
speciaal	Adj
bezighoudt	V
met	Prep
het	Art
onderzoek	N
naar	Prep
veranderingen	N
in	Prep
de	Art
Grondwet	N
en	Conj
de	Art
Kieswet	N
,	Punc
dezer	Pron
dagen	N
heeft	V
uitgebracht	V
.	Punc
<utt>
Chevrolet	N
brengt	V
voor	Prep
1970	Num
een	Art
nieuw	Adj
model	N
uit	Adv
de	Art
"Monte	N
Carlo"	N
Coupe	N
,	Punc
die	Pron
de	Art
zevende	Num
wagenserie	N
van	Prep
Chevrolet	N
vormt	V
.	Punc
<utt>
Gebouwd	V
op	Prep
een	Art
wielbasis	N
van	Prep
2,95	Num
m	N
is	V
de	Art
wagen	N
23	Num
cm	N
korter	Adj
dan	Conj
een	Art
Impala	N
Coupe	N
en	Conj
ook	Adv
10	Num
cm	N
smaller	Adj
.	Punc
<utt>
Hij	Pron
heeft	V
de	Art
langste	Adj
motorkap	N
van	Prep
het	Art
gehele	Adj
Chevrolet	N
programma	N
en	Conj
is	V
op	Prep
een	Art
nieuw	Adj
perimeter	N
chassisframe	N
gebouwd	V
.	Punc
<utt>
De	Art
wielophanging	N
heeft	V
schroefveren	N
rondom	Adv
.	Punc
<utt>
Er	Adv
kan	V
uit	Prep
vijf	Num
V8	N
